,text_encoding_tsne_1,text_encoding_tsne_2
0,-23.228806,17.689806
1,53.994408,9.051897
2,50.93247,12.611628
3,-7.5170274,-0.07667559
4,49.055664,-5.7753243
5,63.14912,-11.785278
6,56.201675,-3.5559402
7,51.17695,1.0352612
8,58.533627,-14.338146
9,-7.5170274,-0.07667559
10,-7.5170274,-0.07667559
11,-7.5170274,-0.07667559
12,-7.5170274,-0.07667559
13,59.362553,6.5557384
14,-7.5170274,-0.07667559
15,-7.5170274,-0.07667559
16,-7.5170274,-0.07667559
17,-7.5170274,-0.07667559
18,-7.5170274,-0.07667559
19,-7.5170274,-0.07667559
20,-7.5170274,-0.07667559
21,61.77724,9.473793
22,50.6873,13.581621
23,54.220016,2.6722393
24,66.84003,-7.532925
25,57.65784,11.285502
26,-7.5170274,-0.07667559
27,66.865,-7.512201
28,-7.5170274,-0.07667559
29,-7.5170274,-0.07667559
30,-7.5170274,-0.07667559
31,-7.5170274,-0.07667559
32,-7.5170274,-0.07667559
33,56.775177,-13.007853
34,55.793026,-5.389363
35,-7.5170274,-0.07667559
36,-7.5170274,-0.07667559
37,61.125816,-8.149125
38,-7.5170274,-0.07667559
39,-7.5170274,-0.07667559
40,-7.5170274,-0.07667559
41,-7.5170274,-0.07667559
42,-7.5170274,-0.07667559
43,-7.5170274,-0.07667559
44,60.848743,-6.089254
45,-7.5170274,-0.07667559
46,-7.5170274,-0.07667559
47,55.548115,-0.15700142
48,-7.5170274,-0.07667559
49,59.707848,-13.061046
50,60.348694,-6.2769566
51,-7.5170274,-0.07667559
52,-7.5170274,-0.07667559
53,-7.5170274,-0.07667559
54,-7.5170274,-0.07667559
55,50.633095,-2.290375
56,-7.5170274,-0.07667559
57,-7.5170274,-0.07667559
58,-7.5170274,-0.07667559
59,54.470352,-1.063636
60,-7.5170274,-0.07667559
61,55.13688,-1.6842049
62,63.237297,-6.5799336
63,-7.5170274,-0.07667559
64,59.748154,5.8293614
65,57.183067,18.412165
66,-7.5170274,-0.07667559
67,-7.5170274,-0.07667559
68,-7.5170274,-0.07667559
69,-7.5170274,-0.07667559
70,-7.5170274,-0.07667559
71,52.957886,3.0775106
72,-7.5170274,-0.07667559
73,58.410244,-2.253313
74,55.88783,12.122879
75,-7.5170274,-0.07667559
76,59.793514,5.7904506
77,-7.5170274,-0.07667559
78,-7.5170274,-0.07667559
79,60.000916,-14.219323
80,-7.5170274,-0.07667559
81,-7.5170274,-0.07667559
82,-7.5170274,-0.07667559
83,-7.5170274,-0.07667559
84,-7.5170274,-0.07667559
85,-7.5170274,-0.07667559
86,-7.5170274,-0.07667559
87,62.0383,-11.770563
88,58.451405,-7.421382
89,-7.5170274,-0.07667559
90,-7.5170274,-0.07667559
91,-7.5170274,-0.07667559
