tsne_1,tnse_2
47.03111,41.312267
-68.64411,-8.064951
44.83461,0.14432862
-35.123833,-34.379707
-23.796362,-10.595854
-28.38692,-25.682411
29.503107,52.458252
-29.019518,-19.593683
4.06391,13.378315
12.97004,25.062933
-29.564999,-42.187458
1.3960656,-13.863804
41.264076,44.364258
-71.36368,-3.2732565
-33.080414,-24.497942
-28.324106,18.898077
-9.554902,20.47769
-23.045807,-1.2734855
-8.611795,-3.523879
3.4787502,-34.506397
-47.126827,-18.05676
-10.131626,52.95084
15.552706,16.095053
-2.8437579,48.25535
19.039139,-25.47921
7.8347616,-27.625177
-47.755096,-24.38832
-3.0690787,39.24157
-51.99295,0.5346841
47.29883,19.438532
51.846786,45.28509
16.610283,-30.500944
-2.026443,-39.538967
-2.5821154,-14.858013
19.224012,0.0083886115
-56.838066,-6.140975
43.547012,-10.611746
-53.847343,-3.2014225
-9.773032,-22.26221
41.8592,-14.543635
43.48515,4.515803
-13.396912,20.624395
-50.934437,9.669242
1.2514033,-6.6433287
-41.27482,-23.712551
23.279757,12.371955
52.13922,-5.9950294
57.710766,2.477329
-27.760933,3.727591
16.842512,23.450346
44.883324,-0.18597278
-47.684235,-24.459583
16.360182,41.705696
37.47775,-29.033895
38.759777,58.105007
16.12344,-14.589721
20.964256,-19.562805
-54.603287,5.0947404
-26.806337,-45.191536
37.112774,-25.42127
-15.966057,20.375896
-34.562798,-20.805212
38.33446,34.657997
-6.476874,64.58852
-2.448008,63.905285
56.05129,6.9788265
-46.261845,10.549217
-39.972073,2.8618407
-72.47605,-8.354026
-26.470284,-39.800404
-23.368643,-32.529793
-57.76438,-5.7966647
-17.557428,-9.885776
1.1656879,-58.269062
55.000515,31.411171
5.208655,34.3824
-3.2608929,-56.006985
54.599743,37.189888
-14.853939,23.130487
47.99243,-17.419573
-17.971434,-9.06039
0.20478249,-51.621815
-56.21474,-4.382165
6.193951,16.200584
5.8158817,4.5557866
-42.626728,-31.1469
-17.816166,29.218824
2.375453,30.409872
53.512634,-6.532423
39.4872,55.192932
31.62023,-10.090354
27.533785,21.135817
-63.03687,3.6116993
-25.055304,15.151969
17.486488,15.437491
-58.271175,-5.29436
32.707516,-2.009862
1.8863604,25.997858
5.31584,-22.510324
49.313957,28.949392
35.36862,33.831585
-3.400553,-3.762878
-58.029415,-2.3994155
-64.20188,-0.027887445
12.49157,5.0062146
-1.441397,61.0222
4.382692,-24.33032
-13.873994,26.085117
25.49983,1.6295149
32.60151,54.69463
-56.90484,7.255727
-25.177158,-7.3025293
17.837223,-41.085438
32.155666,-4.1682944
-30.532469,-22.379086
-23.569267,-29.208338
-36.764782,-22.216671
24.731056,42.696484
-7.809754,-2.4994135
-39.340553,-29.29684
37.590652,29.086336
38.27567,32.83557
60.176243,8.809797
-54.88188,-5.3054695
-43.63813,-38.312496
35.532795,48.280033
-23.446407,1.1231943
-25.73631,23.104269
2.2553897,29.304455
27.785118,-24.60738
-41.25716,-6.5881186
-23.623564,1.2808504
-4.276866,-49.865356
-28.768398,-47.013577
-56.405212,13.9359865
-17.98077,-9.02491
-42.707626,-28.187584
-48.92774,-1.546421
-40.82993,-26.475441
-63.36074,3.5003252
42.342655,-7.407633
49.2509,2.694906
30.45941,-27.312103
2.853038,-66.29113
-22.010695,11.471095
-45.33571,-28.085236
-8.29269,-29.0008
-20.696012,32.06112
28.804504,-41.61407
38.397575,36.546124
-28.76189,-41.668457
55.102562,6.1036506
-36.63658,-18.829666
27.571684,21.1106
-17.176107,-29.667456
10.858314,-50.99123
2.3480039,-37.504288
-67.880646,-9.47622
-16.67025,23.268764
19.852928,-0.60619396
-58.651253,-19.21504
5.2473235,2.8723423
-61.149193,-1.0245872
-11.022487,26.696218
27.436954,-43.539295
-54.32627,-8.888962
-4.818802,-10.681324
36.108067,31.233183
-38.764008,-30.52031
28.358572,34.596115
59.0982,3.0818706
-21.035984,2.5016994
-27.120146,7.0055537
21.11322,23.753237
-10.939203,-3.3869517
-36.965168,-41.49322
-6.80896,45.66718
-5.0496416,-46.17539
58.82232,37.231083
38.226818,-1.3713295
-17.698526,-44.473354
-21.41427,25.525787
-56.693287,-6.0122604
-3.4574926,33.393494
-9.926277,26.883183
-11.311987,-54.608135
52.790283,36.994003
-35.60381,-3.2890599
2.0460846,-51.56914
22.061758,27.491796
37.442837,59.74779
-47.422413,8.578026
20.58739,-1.0072914
-39.344856,5.4830494
24.93926,51.420464
-57.12335,14.4877205
41.967323,29.133717
24.267582,-35.99943
40.571228,49.600754
14.696337,-2.9747367
-9.583659,45.87373
-41.657516,-25.856953
-61.859577,-9.617166
43.575424,3.9824522
6.9608245,37.48464
39.58839,-31.729181
-43.261627,-23.821539
45.09072,23.4426
31.405981,-28.190798
-49.68038,-5.6835155
-47.037064,5.888797
-26.19599,36.79253
-14.196102,38.290157
-13.575177,-36.23912
-7.814453,-2.4991248
-65.29894,-12.36151
-9.864048,-27.608
31.083334,-27.041695
-8.484136,42.43624
-56.088165,-2.0851624
-19.645126,5.8005505
44.695335,-1.2471943
-24.899427,-25.429033
-24.233107,-25.566895
-5.51214,-42.554745
-55.28276,-8.166861
-47.240597,22.194841
-22.675451,8.827168
26.99399,56.351116
40.955925,59.733658
-69.27189,-34.781082
-0.11425327,9.238681
38.290806,36.795002
-14.95112,-34.662807
-6.051458,-25.686394
15.646443,14.821164
44.06432,2.242037
-27.803638,19.86372
-6.770683,-25.771133
19.59901,-2.1961136
17.748617,47.283707
60.007893,3.2327766
-43.72314,-1.8426545
3.5668006,-0.054770518
24.550997,16.287588
-34.9532,-44.374374
57.51985,8.29486
7.9592357,26.787628
-39.621593,1.6448178
16.150848,-3.4881575
-63.312016,-7.76921
36.8689,48.650272
-52.357956,-1.3732284
15.961196,42.614826
-21.239159,41.920017
-32.858784,-20.993244
12.691011,35.12332
-34.10887,-2.5035844
-27.781603,24.231972
-8.632732,27.053219
-4.4521422,-55.99766
-36.430126,-35.057102
29.626183,20.60199
-48.11759,-13.953467
-7.6670504,-7.1855764
-55.028084,-8.955226
5.5877547,-42.679832
38.490204,-28.244846
-7.232251,65.554596
-35.710064,-26.721415
4.5423107,33.586823
25.873629,0.30211765
43.924248,-5.147287
57.233616,32.977688
-27.33315,10.738415
15.052191,-2.9521606
-9.184884,-32.686787
7.0597696,-54.724003
35.75661,46.63661
-6.717338,-54.17819
-50.694923,6.2715044
-4.41793,-1.7845907
-16.907305,17.760302
-47.2568,22.195553
16.75799,-3.5522904
31.201311,-10.402815
-4.4266243,14.509092
-26.203175,-43.570263
6.858463,6.8767323
28.734785,10.812793
-10.236197,-50.904705
-49.52821,15.577062
-49.52657,15.52228
-21.69563,-10.838974
-49.52657,15.52228
-33.73997,8.11243
-5.428549,62.546722
-24.872019,4.7063203
17.967981,-0.88317895
55.45068,30.433296
